"Week, spain, spain (std error), wine, wine (std error)
Jan 4 2004, 1.60, 2%, 1.80, 2%
Jan 11 2004, 1.62, 2%, 1.74, 2%
Jan 18 2004, 1.68, 2%, 1.76, 2%
Jan 25 2004, 1.58, 2%, 1.70, 2%
Feb 1 2004, 1.56, 2%, 1.70, 2%
Feb 8 2004, 1.64, 2%, 1.84, 2%
Feb 15 2004, 1.60, 2%, 1.72, 2%
Feb 22 2004, 1.66, 2%, 1.70, 2%
Feb 29 2004, 1.74, 2%, 1.58, 2%
Mar 7 2004, 2.32, 2%, 1.68, 3%
Mar 14 2004, 2.08, 2%, 1.60, 2%
Mar 21 2004, 1.58, 2%, 1.70, 2%
Mar 28 2004, 1.66, 2%, 1.60, 2%
Apr 4 2004, 1.54, 2%, 1.66, 2%
Apr 11 2004, 1.58, 2%, 1.64, 2%
Apr 18 2004, 1.64, 2%, 1.60, 2%
Apr 25 2004, 1.68, 2%, 1.64, 2%
May 2 2004, 1.66, 2%, 1.62, 2%
May 9 2004, 1.60, 2%, 1.58, 2%
May 16 2004, 1.70, 2%, 1.58, 2%
May 23 2004, 1.70, 2%, 1.56, 2%
May 30 2004, 1.50, 2%, 1.60, 2%
Jun 6 2004, 1.56, 2%, 1.58, 2%
Jun 13 2004, 1.48, 2%, 1.62, 2%
Jun 20 2004, 1.50, 2%, 1.62, 2%
Jun 27 2004, 1.42, 2%, 1.58, 2%
Jul 4 2004, 1.48, 2%, 1.60, 2%
Jul 11 2004, 1.54, 2%, 1.70, 2%
Jul 18 2004, 1.38, 2%, 1.66, 2%
Jul 25 2004, 1.40, 2%, 1.68, 2%
Aug 1 2004, 1.40, 2%, 1.76, 2%
Aug 8 2004, 1.38, 2%, 1.68, 2%
Aug 15 2004, 1.32, 2%, 1.74, 2%
Aug 22 2004, 1.38, 2%, 1.72, 2%
Aug 29 2004, 1.34, 2%, 1.62, 2%
Sep 5 2004, 1.42, 2%, 1.62, 2%
Sep 12 2004, 1.44, 2%, 1.68, 2%
Sep 19 2004, 1.36, 2%, 1.70, 2%
Sep 26 2004, 1.38, 2%, 1.68, 2%
Oct 3 2004, 1.42, 2%, 1.70, 2%
Oct 10 2004, 1.34, 2%, 1.70, 2%
Oct 17 2004, 1.34, 2%, 1.66, 2%
Oct 24 2004, 1.26, 2%, 1.68, 2%
Oct 31 2004, 1.24, 2%, 1.68, 2%
Nov 7 2004, 1.18, 2%, 1.80, 2%
Nov 14 2004, 1.36, 2%, 1.82, 2%
Nov 21 2004, 1.20, 2%, 2.04, 2%
Nov 28 2004, 1.22, 2%, 2.00, 2%
Dec 5 2004, 1.18, 2%, 2.26, 2%
Dec 12 2004, 1.14, 2%, 2.50, 2%
Dec 19 2004, 0.98, 2%, 2.66, 2%
Dec 26 2004, 0.96, 2%, 1.94, 2%
Jan 2 2005, 1.28, 2%, 1.70, 2%
Jan 9 2005, 1.40, 2%, 1.70, 2%
Jan 16 2005, 1.38, 2%, 1.68, 2%
Jan 23 2005, 1.40, 2%, 1.68, 2%
Jan 30 2005, 1.42, 2%, 1.70, 2%
Feb 6 2005, 1.48, 2%, 1.74, 2%
Feb 13 2005, 1.42, 2%, 1.78, 2%
Feb 20 2005, 1.40, 2%, 1.70, 2%
Feb 27 2005, 1.42, 2%, 1.64, 2%
Mar 6 2005, 1.42, 2%, 1.64, 2%
Mar 13 2005, 1.42, 2%, 1.56, 2%
Mar 20 2005, 1.34, 2%, 1.62, 2%
Mar 27 2005, 1.32, 2%, 1.58, 2%
Apr 3 2005, 1.40, 2%, 1.62, 2%
Apr 10 2005, 1.42, 2%, 1.50, 2%
Apr 17 2005, 1.40, 2%, 1.56, 2%
Apr 24 2005, 1.46, 2%, 1.60, 2%
May 1 2005, 1.42, 2%, 1.66, 2%
May 8 2005, 1.46, 2%, 1.56, 2%
May 15 2005, 1.40, 2%, 1.72, 2%
May 22 2005, 1.44, 2%, 1.68, 2%
May 29 2005, 1.30, 2%, 1.60, 2%
Jun 5 2005, 1.34, 2%, 1.56, 2%
Jun 12 2005, 1.30, 2%, 1.64, 2%
Jun 19 2005, 1.30, 2%, 1.62, 2%
Jun 26 2005, 1.26, 2%, 1.56, 2%
Jul 3 2005, 1.28, 2%, 1.54, 2%
Jul 10 2005, 1.28, 2%, 1.62, 2%
Jul 17 2005, 1.26, 2%, 1.64, 2%
Jul 24 2005, 1.24, 2%, 1.66, 2%
Jul 31 2005, 1.24, 2%, 1.76, 2%
Aug 7 2005, 1.16, 2%, 1.72, 2%
Aug 14 2005, 1.14, 2%, 1.70, 2%
Aug 21 2005, 1.12, 2%, 1.66, 2%
Aug 28 2005, 1.12, 2%, 1.54, 2%
Sep 4 2005, 1.24, 2%, 1.60, 2%
Sep 11 2005, 1.22, 2%, 1.70, 2%
Sep 18 2005, 1.18, 2%, 1.64, 2%
Sep 25 2005, 1.24, 2%, 1.70, 2%
Oct 2 2005, 1.24, 2%, 1.70, 2%
Oct 9 2005, 1.18, 2%, 1.72, 2%
Oct 16 2005, 1.16, 2%, 1.74, 2%
Oct 23 2005, 1.10, 2%, 1.72, 2%
Oct 30 2005, 1.12, 2%, 1.78, 2%
Nov 6 2005, 1.04, 2%, 1.80, 2%
Nov 13 2005, 1.08, 2%, 1.86, 2%
Nov 20 2005, 0.98, 2%, 1.94, 2%
Nov 27 2005, 1.00, 2%, 1.98, 2%
Dec 4 2005, 1.02, 2%, 2.20, 2%
Dec 11 2005, 0.96, 2%, 2.36, 2%
Dec 18 2005, 0.86, 2%, 2.68, 2%
Dec 25 2005, 0.84, 2%, 1.98, 2%
Jan 1 2006, 1.10, 2%, 1.68, 2%
Jan 8 2006, 1.18, 2%, 1.62, 2%
Jan 15 2006, 1.18, 2%, 1.64, 2%
Jan 22 2006, 1.18, 2%, 1.64, 2%
Jan 29 2006, 1.24, 2%, 1.60, 2%
Feb 5 2006, 1.18, 2%, 1.52, 2%
Feb 12 2006, 1.14, 2%, 1.66, 2%
Feb 19 2006, 1.16, 2%, 1.54, 2%
Feb 26 2006, 1.18, 2%, 1.50, 2%
Mar 5 2006, 1.22, 2%, 1.50, 2%
Mar 12 2006, 1.22, 2%, 1.46, 2%
Mar 19 2006, 1.22, 2%, 1.56, 2%
Mar 26 2006, 1.22, 2%, 1.52, 2%
Apr 2 2006, 1.22, 2%, 1.48, 2%
Apr 9 2006, 1.14, 2%, 1.54, 2%
Apr 16 2006, 1.18, 2%, 1.54, 2%
Apr 23 2006, 1.24, 2%, 1.50, 2%
Apr 30 2006, 1.24, 2%, 1.54, 2%
May 7 2006, 1.24, 2%, 1.50, 2%
May 14 2006, 1.26, 2%, 1.48, 2%
May 21 2006, 1.24, 2%, 1.48, 2%
May 28 2006, 1.14, 2%, 1.54, 2%
Jun 4 2006, 1.22, 2%, 1.52, 2%
Jun 11 2006, 1.34, 2%, 1.58, 2%
Jun 18 2006, 1.26, 2%, 1.56, 2%
Jun 25 2006, 1.30, 2%, 1.52, 2%
Jul 2 2006, 1.16, 2%, 1.52, 2%
Jul 9 2006, 1.16, 2%, 1.60, 2%
Jul 16 2006, 1.08, 2%, 1.62, 2%
Jul 23 2006, 1.08, 2%, 1.60, 2%
Jul 30 2006, 1.04, 2%, 1.64, 2%
Aug 6 2006, 0.98, 2%, 1.64, 2%
Aug 13 2006, 0.98, 2%, 1.66, 2%
Aug 20 2006, 0.98, 2%, 1.60, 2%
Aug 27 2006, 1.04, 2%, 1.58, 2%
Sep 3 2006, 1.08, 2%, 1.64, 2%
Sep 10 2006, 1.06, 2%, 1.58, 2%
Sep 17 2006, 1.08, 2%, 1.60, 2%
Sep 24 2006, 1.08, 2%, 1.62, 2%
Oct 1 2006, 1.02, 2%, 1.60, 2%
Oct 8 2006, 1.04, 2%, 1.64, 2%
Oct 15 2006, 1.04, 2%, 1.62, 2%
Oct 22 2006, 0.96, 2%, 1.60, 2%
Oct 29 2006, 0.96, 2%, 1.76, 2%
Nov 5 2006, 0.94, 2%, 1.74, 2%
Nov 12 2006, 0.92, 2%, 1.82, 2%
Nov 19 2006, 0.86, 2%, 1.90, 2%
Nov 26 2006, 0.90, 2%, 1.98, 2%
Dec 3 2006, 0.90, 2%, 2.18, 2%
Dec 10 2006, 0.86, 2%, 2.34, 2%
Dec 17 2006, 0.80, 2%, 2.52, 2%
Dec 24 2006, 0.76, 2%, 2.02, 2%
Dec 31 2006, 0.98, 2%, 1.74, 2%
Jan 7 2007, 1.10, 2%, 1.60, 2%
Jan 14 2007, 1.06, 2%, 1.56, 2%
Jan 21 2007, 1.08, 2%, 1.56, 2%
Jan 28 2007, 1.06, 2%, 1.62, 2%
Feb 4 2007, 1.14, 2%, 1.58, 2%
Feb 11 2007, 1.04, 2%, 1.68, 2%
Feb 18 2007, 1.10, 2%, 1.64, 2%
Feb 25 2007, 1.08, 2%, 1.52, 2%
Mar 4 2007, 1.08, 2%, 1.56, 2%
Mar 11 2007, 1.06, 2%, 1.46, 2%
Mar 18 2007, 1.06, 2%, 1.56, 2%
Mar 25 2007, 1.10, 2%, 1.52, 2%
Apr 1 2007, 1.06, 2%, 1.60, 2%
Apr 8 2007, 1.06, 2%, 1.52, 2%
Apr 15 2007, 1.06, 2%, 1.52, 2%
Apr 22 2007, 1.12, 2%, 1.56, 2%
Apr 29 2007, 1.14, 2%, 1.56, 2%
May 6 2007, 1.10, 2%, 1.52, 2%
May 13 2007, 1.16, 2%, 1.52, 2%
May 20 2007, 1.08, 2%, 1.50, 2%
May 27 2007, 1.06, 2%, 1.50, 2%
Jun 3 2007, 1.08, 2%, 1.56, 2%
Jun 10 2007, 1.02, 2%, 1.56, 2%
Jun 17 2007, 1.08, 2%, 1.56, 2%
Jun 24 2007, 1.02, 2%, 1.44, 2%
Jul 1 2007, 1.04, 2%, 1.44, 2%
Jul 8 2007, 1.06, 2%, 1.58, 2%
Jul 15 2007, 1.06, 2%, 1.60, 2%
Jul 22 2007, 0.98, 2%, 1.58, 2%
Jul 29 2007, 0.94, 2%, 1.54, 2%
Aug 5 2007, 0.94, 2%, 1.52, 2%
Aug 12 2007, 0.94, 2%, 1.54, 2%
Aug 19 2007, 0.96, 2%, 1.58, 2%
Aug 26 2007, 0.94, 2%, 1.52, 2%
Sep 2 2007, 1.02, 2%, 1.46, 2%
Sep 9 2007, 1.02, 2%, 1.56, 2%
Sep 16 2007, 1.00, 2%, 1.52, 2%
Sep 23 2007, 0.98, 2%, 1.54, 2%
Sep 30 2007, 0.94, 2%, 1.50, 2%
Oct 7 2007, 0.92, 2%, 1.56, 2%
Oct 14 2007, 0.90, 2%, 1.52, 2%
Oct 21 2007, 0.84, 2%, 1.52, 2%
Oct 28 2007, 0.86, 2%, 1.64, 2%
Nov 4 2007, 0.82, 2%, 1.52, 2%
Nov 11 2007, 0.88, 2%, 1.72, 2%
Nov 18 2007, 0.82, 2%, 1.80, 2%
Nov 25 2007, 0.80, 2%, 1.78, 2%
Dec 2 2007, 0.80, 2%, 1.96, 2%
Dec 9 2007, 0.76, 2%, 2.04, 2%
Dec 16 2007, 0.74, 2%, 2.32, 2%
Dec 23 2007, 0.66, 2%, 1.88, 2%
Dec 30 2007, 0.84, 2%, 1.76, 2%
Jan 6 2008, 0.96, 2%, 1.50, 2%
Jan 13 2008, 1.00, 2%, 1.54, 2%
Jan 20 2008, 0.92, 2%, 1.48, 2%
Jan 27 2008, 0.92, 2%, 1.50, 2%
Feb 3 2008, 0.96, 2%, 1.46, 2%
Feb 10 2008, 0.94, 2%, 1.58, 2%
Feb 17 2008, 0.94, 2%, 1.46, 2%
Feb 24 2008, 0.94, 2%, 1.46, 2%
Mar 2 2008, 0.98, 2%, 1.48, 2%
Mar 9 2008, 1.00, 2%, 1.38, 2%
Mar 16 2008, 0.94, 2%, 1.42, 2%
Mar 23 2008, 0.98, 2%, 1.42, 2%
Mar 30 2008, 0.98, 2%, 1.44, 2%
Apr 6 2008, 0.96, 2%, 1.42, 2%
Apr 13 2008, 0.96, 2%, 1.40, 2%
Apr 20 2008, 0.98, 2%, 1.46, 2%
Apr 27 2008, 0.98, 2%, 1.48, 2%
May 4 2008, 0.98, 2%, 1.42, 2%
May 11 2008, 1.00, 2%, 1.46, 2%
May 18 2008, 1.02, 2%, 1.38, 2%
May 25 2008, 1.02, 2%, 1.38, 2%
Jun 1 2008, 1.02, 2%, 1.44, 2%
Jun 8 2008, 1.12, 2%, 1.38, 2%
Jun 15 2008, 1.04, 2%, 1.48, 2%
Jun 22 2008, 1.48, 2%, 1.46, 2%
Jun 29 2008, 1.38, 2%, 1.42, 2%
Jul 6 2008, 1.02, 2%, 1.42, 2%
Jul 13 2008, 0.94, 2%, 1.48, 2%
Jul 20 2008, 0.90, 2%, 1.46, 2%
Jul 27 2008, 0.88, 2%, 1.44, 2%
Aug 3 2008, 0.88, 2%, 1.46, 2%
Aug 10 2008, 1.04, 2%, 1.44, 2%
Aug 17 2008, 1.06, 2%, 1.44, 2%
Aug 24 2008, 0.96, 2%, 1.42, 2%
Aug 31 2008, 0.92, 2%, 1.46, 2%
Sep 7 2008, 0.92, 2%, 1.42, 2%
Sep 14 2008, 0.90, 2%, 1.42, 2%
Sep 21 2008, 0.90, 2%, 1.46, 2%
Sep 28 2008, 0.88, 2%, 1.48, 2%
Oct 5 2008, 0.86, 2%, 1.46, 2%
Oct 12 2008, 0.84, 2%, 1.42, 2%
Oct 19 2008, 0.78, 2%, 1.36, 2%
Oct 26 2008, 0.74, 2%, 1.40, 2%
Nov 2 2008, 0.72, 2%, 1.46, 2%
Nov 9 2008, 0.72, 2%, 1.54, 2%
Nov 16 2008, 0.76, 2%, 1.62, 2%
Nov 23 2008, 0.68, 2%, 1.74, 2%
Nov 30 2008, 0.70, 2%, 1.74, 2%
Dec 7 2008, 0.68, 2%, 1.86, 2%
Dec 14 2008, 0.64, 2%, 2.06, 2%
Dec 21 2008, 0.54, 2%, 1.92, 2%
Dec 28 2008, 0.66, 2%, 1.70, 2%
Jan 4 2009, 0.80, 2%, 1.40, 2%
Jan 11 2009, 0.82, 2%, 1.42, 2%
Jan 18 2009, 0.82, 2%, 1.40, 2%
Jan 25 2009, 0.82, 2%, 1.38, 2%
Feb 1 2009, 0.80, 2%, 1.34, 2%
Feb 8 2009, 0.92, 2%, 1.44, 2%
Feb 15 2009, 0.80, 2%, 1.42, 2%
Feb 22 2009, 0.82, 2%, 1.36, 2%
Mar 1 2009, 0.84, 2%, 1.32, 2%
Mar 8 2009, 0.84, 2%, 1.32, 2%
Mar 15 2009, 0.84, 2%, 1.28, 2%
Mar 22 2009, 0.88, 2%, 1.34, 2%
Mar 29 2009, 0.92, 2%, 1.30, 2%
Apr 5 2009, 0.86, 2%, 1.40, 2%
Apr 12 2009, 0.88, 2%, 1.32, 2%
Apr 19 2009, 0.90, 2%, 1.34, 2%
Apr 26 2009, 0.92, 2%, 1.38, 2%
May 3 2009, 0.90, 2%, 1.36, 2%
May 10 2009, 0.94, 2%, 1.34, 2%
May 17 2009, 0.92, 2%, 1.38, 2%
May 24 2009, 0.86, 2%, 1.30, 2%
May 31 2009, 0.88, 2%, 1.38, 2%
Jun 7 2009, 0.88, 2%, 1.38, 2%
Jun 14 2009, 0.98, 2%, 1.34, 2%
Jun 21 2009, 1.16, 2%, 1.28, 2%
Jun 28 2009, 0.88, 2%, 1.30, 2%
Jul 5 2009, 0.88, 2%, 1.30, 2%
Jul 12 2009, 0.84, 2%, 1.36, 2%
Jul 19 2009, 0.86, 2%, 1.36, 2%
Jul 26 2009, 0.88, 2%, 1.40, 2%
Aug 2 2009, 0.80, 2%, 1.38, 2%
Aug 9 2009, 0.82, 2%, 1.44, 2%
Aug 16 2009, 0.76, 2%, 1.36, 2%
Aug 23 2009, 0.80, 2%, 1.38, 2%
Aug 30 2009, 0.82, 2%, 1.36, 2%
Sep 6 2009, 0.84, 2%, 1.40, 2%
Sep 13 2009, 0.84, 2%, 1.38, 2%
Sep 20 2009, 0.82, 2%, 1.40, 2%
Sep 27 2009, 0.78, 2%, 1.34, 2%
Oct 4 2009, 0.76, 2%, 1.38, 2%
Oct 11 2009, 0.76, 2%, 1.38, 2%
Oct 18 2009, 0.70, 2%, 1.36, 2%
Oct 25 2009, 0.68, 2%, 1.34, 2%
Nov 1 2009, 0.68, 2%, 1.44, 2%
Nov 8 2009, 0.70, 2%, 1.40, 2%
Nov 15 2009, 0.68, 2%, 1.52, 2%
Nov 22 2009, 0.60, 2%, 1.58, 2%
Nov 29 2009, 0.64, 2%, 1.60, 2%
Dec 6 2009, 0.64, 2%, 1.74, 2%
Dec 13 2009, 0.64, 2%, 1.90, 2%
Dec 20 2009, 0.50, 2%, 1.88, 2%
Dec 27 2009, 0.60, 2%, 1.56, 2%
Jan 3 2010, 0.72, 2%, 1.28, 2%
Jan 10 2010, 0.76, 2%, 1.34, 2%
Jan 17 2010, 0.74, 2%, 1.30, 2%
Jan 24 2010, 0.74, 2%, 1.28, 2%
Jan 31 2010, 0.76, 2%, 1.30, 2%
Feb 7 2010, 0.76, 2%, 1.36, 2%
Feb 14 2010, 0.76, 2%, 1.34, 2%
Feb 21 2010, 0.78, 2%, 1.30, 2%
Feb 28 2010, 0.86, 2%, 1.26, 2%
Mar 7 2010, 0.80, 2%, 1.28, 2%
Mar 14 2010, 0.76, 2%, 1.22, 2%
Mar 21 2010, 0.78, 2%, 1.22, 2%
Mar 28 2010, 0.76, 2%, 1.28, 2%
Apr 4 2010, 0.76, 2%, 1.20, 2%
Apr 11 2010, 0.84, 2%, 1.20, 2%
Apr 18 2010, 0.88, 2%, 1.26, 2%
Apr 25 2010, 0.80, 2%, 1.24, 2%
May 2 2010, 0.84, 2%, 1.26, 2%
May 9 2010, 0.90, 2%, 1.30, 2%
May 16 2010, 0.82, 2%, 1.28, 2%
May 23 2010, 0.90, 2%, 1.26, 2%
May 30 2010, 0.88, 2%, 1.26, 2%
Jun 6 2010, 1.04, 2%, 1.24, 2%
Jun 13 2010, 1.26, 2%, 1.26, 2%
Jun 20 2010, 1.14, 2%, 1.22, 2%
Jun 27 2010, 1.56, 2%, 1.22, 2%
Jul 4 2010, 2.58, 2%, 1.28, 2%
Jul 11 2010, 2.50, 2%, 1.36, 2%
Jul 18 2010, 0.90, 2%, 1.42, 2%
Jul 25 2010, 0.82, 2%, 1.36, 2%
Aug 1 2010, 0.78, 2%, 1.42, 2%
Aug 8 2010, 0.88, 2%, 1.40, 2%
Aug 15 2010, 0.76, 2%, 1.42, 2%
Aug 22 2010, 0.76, 2%, 1.42, 2%
Aug 29 2010, 0.76, 2%, 1.36, 2%
Sep 5 2010, 0.90, 2%, 1.46, 2%
Sep 12 2010, 0.78, 2%, 1.42, 2%
Sep 19 2010, 0.74, 2%, 1.38, 2%
Sep 26 2010, 0.72, 2%, 1.40, 2%
Oct 3 2010, 0.70, 2%, 1.42, 2%
Oct 10 2010, 0.76, 2%, 1.38, 2%
Oct 17 2010, 0.66, 2%, 1.38, 2%
Oct 24 2010, 0.64, 2%, 1.34, 2%
Oct 31 2010, 0.64, 2%, 1.44, 2%
Nov 7 2010, 0.62, 2%, 1.42, 2%
Nov 14 2010, 0.70, 2%, 1.54, 2%
Nov 21 2010, 0.60, 2%, 1.60, 2%
Nov 28 2010, 0.66, 2%, 1.60, 2%
Dec 5 2010, 0.60, 2%, 1.74, 2%
Dec 12 2010, 0.56, 2%, 1.84, 2%
Dec 19 2010, 0.50, 2%, 2.02, 2%
Dec 26 2010, 0.56, 2%, 1.68, 2%
Jan 2 2011, 0.68, 2%, 1.36, 2%
Jan 9 2011, 0.68, 2%, 1.38, 2%
Jan 16 2011, 0.70, 2%, 1.38, 2%
Jan 23 2011, 0.70, 2%, 1.36, 2%
Jan 30 2011, 0.68, 2%, 1.36, 2%
Feb 6 2011, 0.72, 2%, 1.38, 2%
Feb 13 2011, 0.70, 2%, 1.42, 2%
Feb 20 2011, 0.66, 2%, 1.36, 2%
Feb 27 2011, 0.70, 2%, 1.32, 2%
Mar 6 2011, 0.74, 2%, 1.26, 2%
Mar 13 2011, 0.68, 2%, 1.22, 2%
Mar 20 2011, 0.72, 2%, 1.26, 2%
Mar 27 2011, 0.76, 2%, 1.24, 2%
Apr 3 2011, 0.72, 2%, 1.24, 2%
Apr 10 2011, 0.72, 2%, 1.28, 2%
Apr 17 2011, 0.74, 2%, 1.34, 2%
Apr 24 2011, 0.72, 2%, 1.30, 2%
May 1 2011, 0.76, 2%, 1.28, 2%
May 8 2011, 1.14, 2%, 1.30, 2%
May 15 2011, 0.86, 2%, 1.32, 2%
May 22 2011, 0.80, 2%, 1.32, 2%
May 29 2011, 0.84, 2%, 1.34, 2%
Jun 5 2011, 0.78, 2%, 1.32, 2%
Jun 12 2011, 0.78, 2%, 1.34, 2%
Jun 19 2011, 0.74, 2%, 1.32, 2%
Jun 26 2011, 0.72, 2%, 1.30, 2%
Jul 3 2011, 0.74, 2%, 1.30, 2%
Jul 10 2011, 0.72, 2%, 1.36, 2%
Jul 17 2011, 0.74, 2%, 1.38, 2%
Jul 24 2011, 0.70, 2%, 1.46, 2%
Jul 31 2011, 0.72, 2%, 1.40, 2%
Aug 7 2011, 0.74, 2%, 1.32, 2%
Aug 14 2011, 0.72, 2%, 1.38, 2%
Aug 21 2011, 0.68, 2%, 1.32, 2%
Aug 28 2011, 0.70, 2%, 1.34, 2%
Sep 4 2011, 0.72, 2%, 1.36, 2%
Sep 11 2011, 0.70, 2%, 1.36, 2%
Sep 18 2011, 0.68, 2%, 1.34, 2%
Sep 25 2011, 0.66, 2%, 1.34, 2%
Oct 2 2011, 0.66, 2%, 1.30, 2%
Oct 9 2011, 0.70, 2%, 1.34, 2%
Oct 16 2011, 0.66, 2%, 1.34, 2%
Oct 23 2011, 0.62, 2%, 1.34, 2%
Oct 30 2011, 0.60, 2%, 1.34, 2%
Nov 6 2011, 0.82, 2%, 1.42, 2%
Nov 13 2011, 0.68, 2%, 1.48, 2%
Nov 20 2011, 0.58, 2%, 1.60, 2%
Nov 27 2011, 0.56, 2%, 1.52, 2%
Dec 4 2011, 0.58, 2%, 1.66, 2%
Dec 11 2011, 0.56, 2%, 1.84, 2%
Dec 18 2011, 0.50, 2%, 2.06, 2%
Dec 25 2011, 0.50, 2%, 1.66, 2%
Jan 1 2012, 0.64, 2%, 1.40, 2%
Jan 8 2012, 0.66, 2%, 1.38, 2%
Jan 15 2012, 0.66, 2%, 1.38, 2%
Jan 22 2012, 0.66, 2%, 1.32, 2%
Jan 29 2012, 0.66, 2%, 1.32, 2%
Feb 5 2012, 0.66, 2%, 1.32, 2%
Feb 12 2012, 0.62, 2%, 1.46, 2%
Feb 19 2012, 0.66, 2%, 1.36, 2%
Feb 26 2012, 0.68, 2%, 1.30, 2%
Mar 4 2012, 0.66, 2%, 1.30, 2%
Mar 11 2012, 0.68, 2%, 1.24, 2%
Mar 18 2012, 0.66, 2%, 1.20, 2%
Mar 25 2012, 0.74, 2%, 1.22, 2%
Apr 1 2012, 0.68, 2%, 1.28, 2%
Apr 8 2012, 0.70, 2%, 1.26, 2%
Apr 15 2012, 0.76, 2%, 1.28, 2%
Apr 22 2012, 0.76, 2%, 1.30, 2%
Apr 29 2012, 0.80, 2%, 1.28, 2%
May 6 2012, 0.78, 2%, 1.30, 2%
May 13 2012, 0.84, 2%, 1.34, 2%
May 20 2012, 0.82, 2%, 1.32, 2%
May 27 2012, 0.82, 2%, 1.34, 2%
Jun 3 2012, 0.86, 2%, 1.32, 2%
Jun 10 2012, 1.40, 2%, 1.32, 2%
Jun 17 2012, 1.24, 2%, 1.32, 2%
Jun 24 2012, 1.92, 2%, 1.26, 2%
Jul 1 2012, 1.86, 2%, 1.30, 2%
Jul 8 2012, 0.86, 2%, 1.34, 2%
Jul 15 2012, 0.84, 2%, 1.38, 2%
Jul 22 2012, 0.98, 2%, 1.34, 2%
Jul 29 2012, 0.88, 2%, 1.30, 2%
Aug 5 2012, 0.76, 2%, 1.32, 2%
Aug 12 2012, 0.90, 2%, 1.38, 2%
Aug 19 2012, 0.72, 2%, 1.44, 2%
Aug 26 2012, 0.76, 2%, 1.36, 2%
Sep 2 2012, 0.76, 2%, 1.40, 2%
Sep 9 2012, 0.74, 2%, 1.42, 2%
Sep 16 2012, 0.70, 2%, 1.36, 2%
Sep 23 2012, 0.78, 2%, 1.38, 2%
Sep 30 2012, 0, >10%, 0, >10%"
